KR7000151001,19951124,A000155,8300,8350,8400,8300,2,100,1.219512,,2700,22580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633400,8200,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.7609922,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7A00016000,19951124,A000160,26000,25300,26000,25300,2,900,3.585658,,12430,31895900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400366,0,5000,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000180000,19951124,A000180,58800,58500,59500,58300,2,500,0.8576329,,9820,578897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,58300,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.9146414,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7A00020000,19951124,A000200,9200,9110,9340,9100,2,100,1.098901,,250440,231283200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357305688,0,5000,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7A00020500,19951124,A000205,6680,6660,6700,6650,2,120,1.829268,,27100,18107410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10245212,0,5000,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000210005,19951124,A000210,15100,14900,15200,14900,2,200,1.342282,,25420,384522000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22081065,14900,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.8327911,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000211003,19951124,A000215,8500,8350,8500,8350,2,200,2.409638,,5210,44238000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4801446,8300,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.6837488,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000220004,19951124,A000220,14100,13600,14100,13600,2,500,3.676471,,4250,59229000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937390,13600,1000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.1584921,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000221002,19951124,A000225,7290,7000,7290,7000,2,300,4.291845,,2730,19458000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133465,6990,1000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.1284195,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000230003,19951124,A000230,21400,21000,21400,20700,2,400,1.904762,,4070,85669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725291,21000,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.1157052,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000240002,19951124,A000240,52800,51100,53000,51100,2,800,1.538462,,6200,324833000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46004670,52000,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.4267203,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000270009,19951124,A000270,18800,18600,19000,18600,2,200,1.075269,,191210,3613070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74514561,18600,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,8.685164,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7A00028000,19951124,A000280,28500,28200,28900,28000,2,600,2.150538,,153190,437286400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27917843,0,5000,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000300004,19951124,A000300,5300,5300,5300,5300,8,300,6,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7944100,5000,500,,0,0,0,,0,0,0,,,,,0,0,0,00,1,3.500494,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7A00031000,19951124,A000310,11300,11100,11500,11100,2,200,1.801802,,40750,45921400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7862211,0,5000,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
